Date,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2010-01-04,27.4,46.58,7.77,23.23,19.84,20.51,21.76,26.82,26.05
2010-01-05,27.49,46.96,7.91,23.31,19.81,20.51,21.5,26.56,26.15
2010-01-06,27.96,47.52,7.92,23.36,19.59,20.5,21.62,26.83,26.18
2010-01-07,27.74,47.45,8.09,23.61,19.51,20.5,21.53,26.92,26.4
2010-01-08,28.13,47.76,8.05,23.99,19.64,20.43,21.51,26.97,26.39
2010-01-11,27.97,47.7,8.05,24.25,19.57,20.48,21.73,27.12,26.34
2010-01-12,27.44,47.01,7.93,24.05,19.35,20.6,21.64,26.92,26.0
2010-01-13,27.76,47.18,8.02,24.15,19.54,20.75,21.88,27.28,26.3
2010-01-14,27.43,47.32,8.06,24.15,19.59,20.68,21.78,27.53,26.3
2010-01-15,27.22,46.94,7.9,23.84,19.32,20.58,21.64,27.34,26.04
2010-01-19,27.66,47.36,8.0,24.1,19.65,20.71,21.89,28.0,26.38
2010-01-20,27.17,46.63,7.98,23.73,19.34,20.55,21.66,27.76,26.03
2010-01-21,25.99,45.68,7.75,23.18,19.13,20.26,21.34,27.16,25.7
2010-01-22,25.48,44.59,7.5,22.83,18.47,20.21,20.88,26.86,25.2
2010-01-25,25.7,44.88,7.54,22.98,18.62,20.25,21.02,26.86,25.33
2010-01-26,25.34,44.6,7.41,22.88,18.57,20.23,21.1,26.71,25.37
2010-01-27,25.12,44.42,7.59,22.95,18.72,20.28,20.96,26.9,25.41
2010-01-28,24.67,43.96,7.55,22.68,18.18,20.22,20.8,26.73,25.26
2010-01-29,24.28,43.17,7.5,22.45,17.87,20.15,20.67,26.54,25.11
2010-02-01,25.24,44.59,7.62,22.79,18.07,20.3,20.81,26.69,25.43
2010-02-02,25.32,45.18,7.7,23.23,18.25,20.59,20.97,27.25,25.78
2010-02-03,25.03,44.79,7.61,23.09,18.3,20.45,20.83,26.88,25.8
2010-02-04,24.1,42.95,7.28,22.41,17.78,20.03,20.28,26.2,25.05
